2023-06-22 21:52:40: Вызов функции: hello_world, аргументы: () {}, результат: Hello World
2023-06-22 21:52:40: Вызов функции: summator, аргументы: (2, 2) {}, результат: 4
2023-06-22 21:52:40: Вызов функции: div, аргументы: (6, 2) {}, результат: 3.0
2023-06-22 21:52:40: Вызов функции: summator, аргументы: (4.3,) {'b': 2.2}, результат: 6.5
2023-06-22 21:52:40: Вызов функции: summator, аргументы: () {'a': 0, 'b': 0}, результат: 0
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: a
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: b
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: c
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: d
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: e
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: f
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: h
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: False
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: 1
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: 2
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: None
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: a
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: b
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: c
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: d
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: e
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: f
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: h
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: False
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: 1
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: 2
2023-06-22 22:10:01: Вызов функции: __next__, аргументы: (<__main__.FlatIterator object at 0x0000024FE01E9AE0>,) {}, результат: None
